"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel2_SRR1719013","sel2_SRR1719014","sel2_SRR1719015","sel2_SRR1719016","sel2_SRR1719017","sel2_SRR1719018","sel2_SRR1719204","sel2_SRR1719206","sel2_SRR1719207","sel2_SRR1719208","sel2_SRR1719209","sel2_SRR1719211","sel2_SRR1719212","sel2_SRR1719213","sel2_SRR1719214","sel2_SRR1719241","sel2_SRR1719242","sel2_SRR1719266"
"20","maker-NW_015504334.1-augustus-gene-0.1-mRNA-1",2.82490907125968,0.0493082400596415,0.208101289771316,0.236943462069969,0.812700652005208,NA,0,0,1.06779902770404,0,2.25618132492975,0.869554172509559,4.44612179675689,0,8.00101586138445,0,8.68409695320602,0,4.0045828710515,1.53596928598009,7.08644231258926,0,6.95581964775668,5.94078002880599
"21","maker-NW_015504334.1-augustus-gene-0.6-mRNA-1",388.628288668372,0.4111960794859,0.144365934251272,2.84829022593518,0.00439548200827538,0.0468851414216041,273.619638454902,362.417210606959,332.085497615956,365.67180136743,373.398009275874,374.77784835162,355.689743740551,221.361632983102,272.034539287071,383.202130951008,374.86351848006,359.173706368251,411.671119144094,370.936582564192,507.389269581391,678.590668049507,478.212600783272,500.213678425464
"22","maker-NW_015504334.1-augustus-gene-1.1-mRNA-1",57.6036057493931,-0.262597702561006,0.248990626079238,-1.05464895083013,0.291585907210284,0.504364812471842,67.1142509417685,34.052623815419,92.8985154102514,44.8906559223443,34.9708105364111,62.6079004206882,15.5614262886491,142.695928699851,84.5821676774927,41.6955686527004,53.5519312114371,49.5711894987658,60.8696596399827,122.877542878407,46.7705192630891,21.2946862358632,25.214846223118,35.6446801728359
"23","maker-NW_015504334.1-augustus-gene-1.10-mRNA-1",1519.03586607685,-0.23036154211389,0.1128790375012,-2.04078230301566,0.0412724703635977,0.132071905163513,2054.72860575568,1795.05974112709,1879.32628875911,1414.05566155385,1203.67273685002,1279.98374193407,1884.04411137573,1806.87195187034,1341.88466018076,1310.4321576563,1476.29648204502,1470.61195513005,1288.67476790437,1508.32183883245,1257.84351048459,1413.96716606132,1450.28839655727,1506.5818153052
"24","maker-NW_015504334.1-augustus-gene-1.5-mRNA-1",102.380018445804,0.432529001908928,0.172964369541699,2.5006826727088,0.0123954188793503,0.0702025903526146,96.7994003967815,49.8627705868635,116.39009401974,99.1335318285103,127.474244858531,105.216054873657,64.4687660529749,98.1796774387864,122.301242452591,83.3911373054007,65.1307271490452,84.3579891470226,86.4989900147123,115.197696448507,172.909192427178,134.866346160467,120.857366379772,99.8051044839406
"25","maker-NW_015504334.1-augustus-gene-10.37-mRNA-1",20.7007979498575,0.198203934277,0.265444211552114,0.746687724392465,0.455252081366819,0.693717457320868,19.3598800793563,12.1616513626496,5.3389951385202,20.5748839644078,29.3303572240868,11.3042042426243,11.1153044918922,14.0256682055409,16.0020317227689,62.5433529790505,14.47349492201,19.1327398065412,10.4119154647339,26.8794625046516,26.2198365565803,52.5268927151292,6.95581964775668,14.2578720691344
"26","maker-NW_015504334.1-augustus-gene-10.43-mRNA-1",1538.75800738468,-0.0847935700309787,0.166431679115666,-0.509479748576288,0.610415989833349,0.781332466986686,1511.36130486175,1554.25904414662,885.205393966648,1385.99900160238,1322.12225640883,715.643083975367,1362.73633070599,1889.80633778136,1277.87653328969,2128.45950455689,2027.73663857361,1778.47513201713,1419.22416950065,2180.30840144874,1730.5092127343,1758.9410830823,1039.02555988365,1729.9551443883
"27","maker-NW_015504334.1-augustus-gene-10.5-mRNA-1",508.672726102753,0.0103613484139297,0.142520241941269,0.0727008898721877,0.942044140409437,0.956997222003237,499.484906047393,470.655907734541,675.916784536657,640.627068891788,445.595811673626,599.122824859086,509.080945728664,539.68332008277,542.92607630823,423.90494796912,576.045097895999,353.086016429806,479.749027951969,606.707867962136,361.408557942052,562.179716626788,540.814977613082,329.119213595852
"28","maker-NW_015504334.1-augustus-gene-11.12-mRNA-1",72.1809851077587,0.24785174486872,0.188114423074212,1.31755843501134,0.187651507460502,0.428917731338289,54.2076642221977,62.0244219495132,55.52554944061,73.8825378721916,65.4292584229628,70.4338879732743,56.6880529086503,48.1751212277275,61.7221223592514,88.3548954783412,99.8671149618692,86.0973291294354,44.0504115815664,79.1024182279747,63.7779808133034,112.152014175546,66.0802866536885,111.686664541553
"29","maker-NW_015504334.1-augustus-gene-11.17-mRNA-1",752.324006447907,0.41331276293135,0.167380845493527,2.46929546635211,0.0135379385826987,0.0702025903526146,562.72718097329,582.543100270918,475.170567328297,645.303178883699,859.605084798235,699.991108870195,733.610096464887,407.354189621797,438.912870110233,1176.4106869869,642.623174537246,650.513153422401,768.078994667677,910.829786586194,875.884269836033,1033.50210531389,724.274720822665,1354.49784656777
"30","maker-NW_015504334.1-augustus-gene-11.31-mRNA-1",201.240183303825,0.157895804265896,0.165927643712361,0.951594325895517,0.341302760281775,0.574825701527199,184.564190089863,211.612733710104,227.44119290096,233.805499595543,213.209135205861,283.474660238116,140.052836597842,204.286906472009,235.458466777885,216.419856340207,115.78795937608,103.490728953564,261.899719766768,171.26057538678,220.388355921526,234.241548594495,184.329220665552,180.599712875702
"31","maker-NW_015504334.1-augustus-gene-11.32-mRNA-1",1349.43519740921,-0.0128195266187139,0.115253661594496,-0.111228801249001,0.911434913239473,0.940836039473005,1199.02190624813,1368.18577829808,1598.49514447295,1043.7077501945,1202.54464618756,1601.71878576261,1404.97448777518,1747.11040908151,1411.6077984014,1147.62088958385,1392.35021149737,1103.61121884094,1176.54644751493,1393.12414238394,1339.33759707937,1291.87763164237,1261.61178861187,1606.38691978914
"32","maker-NW_015504334.1-augustus-gene-11.37-mRNA-1",3002.76532045627,-0.0409112607704043,0.131904153973087,-0.310159002109606,0.756440045751311,0.864502909430069,2634.23434946441,2873.79821699411,2565.92106357281,2466.18040973379,2965.75035162016,2581.70633818088,2835.51417588171,3180.16781269113,2466.59888983823,3215.52254443087,3747.1878353084,4293.56074658609,2614.19169822242,2529.74141400921,2744.57910766582,3986.36526335359,2417.14732759545,3931.6082230638
"33","maker-NW_015504334.1-augustus-gene-11.39-mRNA-1",225.105520434656,-0.800806775103038,0.182709087329247,-4.38296084124136,1.17077163266961e-05,0.000374646922454275,286.526225174473,280.934146477207,289.373536507795,150.57074173953,137.627060820715,115.650704943771,365.693517783254,182.333686672032,419.481831589727,185.644555667975,311.180140823216,326.126246702407,205.034642997837,139.005220381198,170.074615502142,153.321740898215,260.843236790876,72.4775163514331
"34","maker-NW_015504334.1-augustus-gene-11.5-mRNA-1",138.788556231414,0.10877634352228,0.185564267333881,0.586192293835117,0.557746299686103,0.74058430805676,143.263112587237,103.374036582522,74.7459319392827,194.526175663492,150.036058107828,119.998475806319,106.706923122165,96.9600541165655,118.872235654855,148.912745188216,102.761813946271,236.550237608146,200.229143552575,125.949481450367,158.027663570741,164.678906890675,150.419599882738,102.181416495463
"35","maker-NW_015504334.1-augustus-gene-11.6-mRNA-1",48.5636455287192,0.0486596670214297,0.2198463646754,0.221334872165273,0.824831699171751,0.894732690626984,60.6609575819831,31.6202935428891,25.6271766648969,65.4655398867521,76.7101650476115,56.5210212131213,38.9035657216228,39.6377579721809,56.0071110296911,48.6448300948171,43.4204847660301,83.4883191558162,48.8559110268282,48.3830325083728,38.9754327192409,22.7143319849207,59.9939444619014,28.5157441382687
"36","maker-NW_015504334.1-augustus-gene-12.19-mRNA-1",1414.0290822584,-0.218380490892666,0.132577323364408,-1.64719339137972,0.0995183017539286,0.254766852490057,1472.64154470304,1297.64820039472,1893.20767611926,1412.18521755708,1234.13118473657,1795.62936623224,1301.60215600058,1927.61466077021,1683.64233768847,1133.72236669961,1773.00312794623,1452.34888531472,1212.58769335439,1155.81688770002,1306.0313182102,1169.78809722342,1330.30050763347,900.622252366988
